frequency,delayrising,delayfalling
0,623.8257652552307,7.632282764446949e6
1,623.8174954235335,7.632349082556875e6
2,623.8092258394321,7.63241539268183e6
3,623.8009565029264,7.632481694822296e6
4,623.7926874140164,7.632547988978759e6
5,623.7844185727022,7.632614275151705e6
6,623.7761499789837,7.63268055334162e6
7,623.767881632861,7.6327468235489875e6
8,623.759613534334,7.632813085774294e6
9,623.7513456834029,7.632879340018025e6
10,623.7430780800673,7.632945586280664e6
11,623.7348107243276,7.6330118245626995e6
12,623.7265436161838,7.633078054864614e6
13,623.7182767556355,7.633144277186894e6
14,623.7100101426831,7.633210491530025e6
15,623.7017437773264,7.633276697894492e6
16,623.6934776595655,7.63334289628078e6
17,623.6852117894003,7.633409086689375e6
18,623.6769461668308,7.633475269120762e6
19,623.6686807918572,7.633541443575426e6
20,623.6604156644793,7.633607610053853e6
21,623.6521507846971,7.633673768556528e6
22,623.6438861525106,7.633739919083936e6
23,623.63562176792,7.633806061636563e6
24,623.6273576309251,7.633872196214895e6
25,623.619093741526,7.633938322819415e6
26,623.6108300997225,7.63400444145061e6
27,623.6025667055148,7.634070552108965e6
28,623.5943035589029,7.634136654794965e6
29,623.5860406598867,7.634202749509095e6
30,623.5777780084663,7.634268836251842e6
31,623.5695156046418,7.63433491502369e6
32,623.5612534484128,7.634400985825125e6
33,623.5529915397797,7.634467048656631e6
34,623.5447298787423,7.634533103518696e6
35,623.5364684653007,7.634599150411801e6
36,623.5282072994547,7.634665189336436e6
37,623.5199463812046,7.634731220293083e6
38,623.5116857105502,7.63479724328223e6
39,623.5034252874916,7.63486325830436e6
40,623.4951651120288,7.63492926535996e6
41,623.4869051841616,7.634995264449513e6
42,623.4786455038902,7.6350612555735065e6
43,623.4703860712145,7.6351272387324255e6
44,623.4621268861347,7.635193213926755e6
45,623.4538679486506,7.635259181156981e6
46,623.4456092587623,7.635325140423587e6
47,623.4373508164696,7.63539109172706e6
48,623.4290926217727,7.635457035067885e6
49,623.4208346746716,7.6355229704465475e6
50,623.4125769751663,7.6355888978635315e6
51,623.4043195232566,7.635654817319324e6
52,623.3960623189428,7.63572072881441e6
53,623.3878053622248,7.635786632349274e6
54,623.3795486531023,7.635852527924402e6
55,623.3712921915758,7.635918415540279e6
56,623.3630359776449,7.63598429519739e6
57,623.3547800113098,7.636050166896221e6
58,623.3465242925705,7.636116030637258e6
59,623.3382688214269,7.636181886420985e6
60,623.3300135978791,7.6362477342478875e6
61,623.321758621927,7.636313574118451e6
62,623.3135038935707,7.636379406033161e6
63,623.3052494128101,7.636445229992503e6
64,623.2969951796453,7.636511045996962e6
65,623.2887411940761,7.636576854047024e6
66,623.2804874561028,7.636642654143173e6
67,623.2722339657253,7.636708446285896e6
68,623.2639807229434,7.636774230475676e6
69,623.2557277277574,7.636840006713001e6
70,623.2474749801671,7.636905774998354e6
71,623.2392224801725,7.6369715353322225e6
72,623.2309702277737,7.6370372877150895e6
73,623.2227182229707,7.637103032147442e6
74,623.2144664657634,7.637168768629765e6
75,623.2062149561518,7.637234497162544e6
76,623.197963694136,7.637300217746263e6
77,623.189712679716,7.63736593038141e6
78,623.1814619128917,7.637431635068468e6
79,623.1732113936631,7.637497331807923e6
80,623.1649611220304,7.637563020600259e6
81,623.1567110979934,7.637628701445964e6
82,623.1484613215521,7.637694374345522e6
83,623.1402117927065,7.637760039299418e6
84,623.1319625114567,7.637825696308138e6
85,623.1237134778027,7.6378913453721665e6
86,623.1154646917444,7.637956986491989e6
87,623.1072161532819,7.638022619668093e6
88,623.0989678624152,7.63808824490096e6
89,623.090719819144,7.638153862191077e6
90,623.0824720234689,7.638219471538931e6
91,623.0742244753893,7.638285072945005e6
92,623.0659771749056,7.638350666409786e6
93,623.0577301220176,7.638416251933758e6
94,623.0494833167253,7.638481829517407e6
95,623.0412367590288,7.638547399161219e6
96,623.032990448928,7.638612960865678e6
97,623.0247443864231,7.6386785146312695e6
98,623.0164985715138,7.63874406045848e6
99,623.0082530042004,7.638809598347793e6
100,623.0000076844825,7.638875128299696e6
101,622.9917626123606,7.638940650314673e6
102,622.9835177878343,7.63900616439321e6
103,622.9752732109039,7.639071670535791e6
104,622.9670288815691,7.639137168742903e6
105,622.9587847998301,7.639202659015029e6
106,622.9505409656869,7.639268141352657e6
107,622.9422973791394,7.6393336157562705e6
108,622.9340540401877,7.6393990822263565e6
109,622.9258109488318,7.639464540763399e6
110,622.9175681050715,7.639529991367883e6
111,622.909325508907,7.639595434040295e6
112,622.9010831603383,7.63966086878112e6
113,622.8928410593654,7.639726295590843e6
114,622.8845992059881,7.63979171446995e6
115,622.8763576002067,7.639857125418925e6
116,622.868116242021,7.639922528438254e6
117,622.8598751314311,7.639987923528423e6
118,622.8516342684369,7.640053310689916e6
119,622.8433936530384,7.64011868992322e6
120,622.8351532852357,7.640184061228819e6
121,622.8269131650287,7.640249424607199e6
122,622.8186732924175,7.640314780058845e6
123,622.8104336674021,7.640380127584242e6
124,622.8021942899825,7.640445467183877e6
125,622.7939551601585,7.640510798858233e6
126,622.7857162779303,7.640576122607796e6
127,622.7774776432979,7.640641438433053e6
128,622.7692392562612,7.640706746334488e6
129,622.7610011168202,7.6407720463125855e6
130,622.7527632249751,7.640837338367832e6
131,622.7445255807257,7.640902622500712e6
132,622.736288184072,7.640967898711712e6
133,622.7280510350141,7.641033167001317e6
134,622.719814133552,7.641098427370012e6
135,622.7115774796855,7.641163679818282e6
136,622.7033410734149,7.641228924346613e6
137,622.69510491474,7.64129416095549e6
138,622.6868690036608,7.641359389645398e6
139,622.6786333401774,7.641424610416822e6
140,622.6703979242898,7.641489823270249e6
141,622.6621627559979,7.641555028206163e6
142,622.6539278353017,7.64162022522505e6
143,622.6456931622013,7.641685414327394e6
144,622.6374587366967,7.641750595513683e6
145,622.6292245587878,7.641815768784399e6
146,622.6209906284746,7.641880934140029e6
147,622.6127569457573,7.64194609158106e6
148,622.6045235106357,7.642011241107974e6
149,622.5962903231098,7.642076382721258e6
150,622.5880573831796,7.642141516421398e6
